segment,start_m,end_m,distance_m,ascent_m,descent_m,avg_gradient,pace_factor,pace_min_per_km,time_min,cumulative_time_min,cumulative_km
1,0.0,1000.0,1000.0,106.69067463400833,0.0,0.10669067463400833,1.7092006272500213,10.478390573359768,10.478390573359768,10.478390573359768,1.0
2,1000.0,2000.0,1000.0,106.60259795855127,0.0,0.10660259795855127,1.70851894725603,10.474211479864712,10.474211479864712,20.95260205322448,2.0
3,2000.0,3000.0,1000.0,106.69072195001098,0.0,0.10669072195001097,1.7092008870277147,10.478392165947607,10.478392165947607,31.43099421917209,3.0
4,3000.0,4000.0,1000.0,106.70248747431924,0.0,0.10670248747431924,1.7092920931626243,10.478951312421716,10.478951312421716,41.909945531593806,4.0
5,4000.0,5000.0,1000.0,70.00636844603036,0.0,0.07000636844603036,1.448885656846945,8.882508914712906,8.882508914712906,50.792454446306714,5.0
6,5000.0,6000.0,1000.0,6.607149537079777,23.289930838988145,-0.016682781301908367,0.931383960100883,5.709923546776221,5.709923546776221,56.50237799308293,6.0
7,6000.0,7000.0,1000.0,0.0,124.97548092837619,-0.12497548092837618,0.85,5.210992697613224,5.210992697613224,61.71337069069615,7.0
8,7000.0,8000.0,1000.0,0.0,124.9891251073158,-0.1249891251073158,0.85,5.210992697613224,5.210992697613224,66.92436338830937,8.0
9,8000.0,9000.0,1000.0,0.0,124.98910588085063,-0.12498910588085063,0.85,5.210992697613224,5.210992697613224,72.1353560859226,9.0
10,9000.0,10000.0,1000.0,0.0,125.00300249004317,-0.12500300249004317,0.8499999999999999,5.210992697613223,5.210992697613223,77.34634878353582,10.0
11,10000.0,11000.0,1000.0,13.989720180227994,4.053354754426032,0.00993636542580196,1.0593588464734391,6.494483780147129,6.494483780147129,83.84083256368295,11.0
12,11000.0,12000.5,1000.4900682606603,8.010279819772007,8.0,1.0274784426273982e-05,1.0041710343199153,6.156150502347996,6.159167436317046,90.0,12.00049006826066
